"","outer_left_eyebrow_x","outer_left_eyebrow_y","inner_left_eyebrow_x","inner_left_eyebrow_y","inner_right_eyebrow_x","inner_right_eyebrow_y","outer_right_eyebrow_x","outer_right_eyebrow_y","top_nose_x","top_nose_y","nose_tip_x","nose_tip_y","outer_left_eye_corner_x","outer_left_eye_corner_y","inner_left_eye_corner_x","inner_left_eye_corner_y","inner_right_eye_corner_x","inner_right_eye_corner_y","outer_right_eye_corner_x","outer_right_eye_corner_y","left_mouth_corner_x","left_mouth_corner_y","right_mouth_corner_x","right_mouth_corner_y"
"246_4",0.164196123147092,0.451487710219922,0.424743443557583,0.432082794307891,0.544469783352338,0.433807675722294,0.811858608893957,0.46873652436395,0.489167616875713,0.50625269512721,0.490307867730901,0.633893919793014,0.252565564424173,0.510996119016818,0.388255416191562,0.520051746442432,0.586659064994299,0.52522639068564,0.725769669327252,0.521345407503234,0.344925883694413,0.784389823199655,0.619726339794755,0.78740836567486
"314_8",0.240837696335079,0.517482517482518,0.462696335078534,0.509490509490509,0.570026178010471,0.502497502497502,0.784031413612565,0.503996003996004,0.520942408376963,0.551448551448551,0.524869109947644,0.680819180819181,0.31020942408377,0.55994005994006,0.43455497382199,0.566933066933067,0.602094240837696,0.562437562437562,0.721858638743455,0.54995004995005,0.402486910994764,0.797202797202797,0.653795811518325,0.784715284715285
"2091",0.237080447522643,0.496205733558179,0.507192328183271,0.468381112984823,0.60841768779968,0.466694772344013,0.840170484816196,0.485244519392917,0.556206712839638,0.534148397976391,0.564198188598828,0.648819561551433,0.316995205114544,0.540893760539629,0.458710708577517,0.548060708263069,0.636654235482152,0.544266441821248,0.769845498135322,0.53035413153457,0.452317527970165,0.811551433389545,0.662226957911561,0.798482293423271
"339_1",0.174543163201008,0.49718045112782,0.432262129804663,0.475093984962406,0.547574039067423,0.473684210526316,0.796471329552615,0.495300751879699,0.485192186515438,0.515977443609023,0.483931947069943,0.671522556390977,0.255198487712665,0.518796992481203,0.392564587271582,0.528195488721805,0.578449905482042,0.528665413533835,0.713925645872716,0.518796992481203,0.347826086956522,0.779135338345865,0.619407687460617,0.775375939849624
"2040",0.169449598021027,0.500677812923633,0.423005565862709,0.461816538635337,0.550401978973408,0.45820153637596,0.813234384662956,0.49570718481699,0.486703772418058,0.527790329868956,0.489795918367347,0.635788522367826,0.247371675943105,0.53953908721193,0.401360544217687,0.549028468142793,0.580705009276438,0.547220967013104,0.733457019171305,0.536375960234975,0.373531230674088,0.793492995933123,0.625850340136054,0.794396746497967
"208_3",0.218958611481976,0.425851703406814,0.445927903871829,0.42685370741483,0.588785046728972,0.434869739478958,0.817089452603471,0.452905811623247,0.51935914552737,0.479959919839679,0.515353805073431,0.612224448897796,0.292389853137517,0.477955911823647,0.427236315086782,0.49498997995992,0.615487316421896,0.503006012024048,0.748998664886515,0.498997995991984,0.371161548731642,0.744488977955912,0.639519359145527,0.764529058116233
"267_3",0.199617956064947,0.523357664233577,0.422158548233047,0.502919708029197,0.538681948424069,0.5,0.764087870105062,0.517518248175182,0.484240687679083,0.545255474452555,0.489971346704871,0.67956204379562,0.267430754536772,0.564963503649635,0.392550143266476,0.567883211678832,0.574976122254059,0.562773722627737,0.699140401146132,0.556204379562044,0.37440305635148,0.800729927007299,0.612225405921681,0.786861313868613
"171_1",0.195099818511797,0.417385057471264,0.431941923774955,0.380028735632184,0.571687840290381,0.379310344827586,0.803992740471869,0.417385057471264,0.508166969147005,0.443247126436782,0.516333938294011,0.556034482758621,0.279491833030853,0.469109195402299,0.411978221415608,0.466235632183908,0.597096188747731,0.46551724137931,0.726860254083485,0.466954022988506,0.393829401088929,0.723419540229885,0.632486388384755,0.725574712643678
"255_1",0.193304535637149,0.480461811722913,0.463282937365011,0.461811722912966,0.575593952483801,0.457371225577265,0.831533477321814,0.466252220248668,0.525917926565875,0.493783303730018,0.536717062634989,0.603019538188277,0.285097192224622,0.510657193605684,0.423326133909287,0.511545293072824,0.615550755939525,0.511545293072824,0.749460043196544,0.507992895204263,0.374730021598272,0.74955595026643,0.666306695464363,0.759325044404973
"143_3",0.158064516129032,0.424169475204622,0.393548387096774,0.389985556090515,0.565161290322581,0.389022628791526,0.81741935483871,0.4260953298026,0.478064516129032,0.451131439576312,0.472258064516129,0.571978815599422,0.233548387096774,0.474723158401541,0.378064516129032,0.478093403948002,0.588387096774194,0.47568608570053,0.734193548387097,0.472797303803563,0.334838709677419,0.73134328358209,0.629032258064516,0.732787674530573
"318_1",0.190078037904125,0.454773869346734,0.445373467112598,0.424204355108878,0.566889632107023,0.423785594639866,0.807692307692308,0.466917922948074,0.503344481605351,0.481993299832496,0.496655518394649,0.617671691792295,0.27257525083612,0.505025125628141,0.401895206243032,0.50251256281407,0.600334448160535,0.508375209380235,0.72463768115942,0.515075376884422,0.385730211817168,0.770519262981575,0.606465997770346,0.777219430485762
"115_2",0.183986371379898,0.447073474470735,0.448040885860307,0.407222914072229,0.584327086882453,0.405977584059776,0.850085178875639,0.434620174346202,0.517887563884157,0.455790784557908,0.528109028960818,0.574097135740971,0.281090289608177,0.476961394769614,0.419080068143101,0.473225404732254,0.613287904599659,0.469489414694894,0.752981260647359,0.465753424657534,0.374787052810903,0.708592777085928,0.683134582623509,0.697384806973848
"231_2",0.220338983050847,0.416347381864623,0.449152542372881,0.358876117496807,0.53954802259887,0.35632183908046,0.782485875706215,0.388250319284802,0.492937853107345,0.421455938697318,0.495762711864407,0.575989782886335,0.285310734463277,0.455938697318008,0.411016949152542,0.450830140485313,0.588983050847458,0.443167305236271,0.714689265536723,0.43933588761175,0.372881355932203,0.740740740740741,0.642655367231638,0.730523627075351
"187_2",0.189683860232945,0.407407407407407,0.429284525790349,0.366727383120826,0.566555740432612,0.372799028536733,0.813643926788686,0.428051001821494,0.5,0.428051001821494,0.500831946755408,0.553126897389193,0.267054908485857,0.437765634486946,0.400998336106489,0.442015786278081,0.593178036605657,0.449908925318761,0.727953410981697,0.454766241651488,0.371048252911814,0.715239829993928,0.62063227953411,0.714025500910747
"246_3",0.213197969543147,0.439252336448598,0.480329949238579,0.37924249877029,0.57741116751269,0.380226266601082,0.817258883248731,0.446630595179538,0.529187817258883,0.441219872110182,0.53743654822335,0.568617806197737,0.296954314720812,0.467289719626168,0.426395939086294,0.467781603541564,0.612944162436548,0.472208558780128,0.736675126903553,0.479094933595671,0.37246192893401,0.748647319232661,0.669416243654822,0.736350221347762
"150_1",0.22644721906924,0.49083409715857,0.460272417707151,0.48762603116407,0.552780930760499,0.485334555453712,0.790011350737798,0.48762603116407,0.505675368898978,0.534830430797434,0.504540295119183,0.655820348304308,0.312145289443814,0.536663611365719,0.424517593643587,0.543538038496792,0.591940976163451,0.54307974335472,0.706583427922815,0.536663611365719,0.410329171396141,0.778643446379468,0.606696935300795,0.776351970669111
"274_1",0.205629770992366,0.474206349206349,0.464217557251908,0.468253968253968,0.567748091603053,0.476984126984127,0.823950381679389,0.491269841269841,0.511927480916031,0.517857142857143,0.50763358778626,0.649603174603175,0.28912213740458,0.516666666666667,0.411259541984733,0.525396825396825,0.610209923664122,0.530952380952381,0.731870229007634,0.532539682539683,0.393129770992366,0.792460317460317,0.595896946564885,0.798809523809524
"289_1",0.151406649616368,0.482565130260521,0.421994884910486,0.451703406813627,0.527365728900256,0.448496993987976,0.81074168797954,0.454509018036072,0.477237851662404,0.510220440881764,0.479795396419437,0.639278557114228,0.233759590792839,0.535470941883768,0.374424552429668,0.537074148296593,0.59079283887468,0.530260521042084,0.732480818414322,0.519438877755511,0.351918158567775,0.795991983967936,0.630690537084399,0.790380761523046
"162_3",0.1525,0.418052256532067,0.436666666666667,0.422209026128266,0.580833333333333,0.42874109263658,0.848333333333333,0.426959619952494,0.510833333333333,0.4958432304038,0.520833333333333,0.649049881235154,0.244166666666667,0.502375296912114,0.401666666666667,0.517220902612827,0.605833333333333,0.519002375296912,0.763333333333333,0.507125890736342,0.34,0.764845605700713,0.668333333333333,0.77375296912114
"2047",0.241528034504005,0.440961337513062,0.491065927295132,0.408045977011494,0.598890942698706,0.410135841170324,0.825015403573629,0.437826541274817,0.545902649414664,0.475966562173459,0.546518792359827,0.605015673981191,0.316697473813925,0.484848484848485,0.451016635859519,0.496342737722048,0.62784966112138,0.497387669801463,0.756007393715342,0.484848484848485,0.420825631546519,0.762277951933124,0.66173752310536,0.756530825496343
"229_3",0.202653799758745,0.445410628019324,0.429433051869723,0.411594202898551,0.568154402895054,0.404830917874396,0.790108564535585,0.426086956521739,0.504221954161641,0.47536231884058,0.510253317249698,0.644444444444444,0.281061519903498,0.48792270531401,0.408926417370326,0.491787439613527,0.592279855247286,0.48695652173913,0.718938480096502,0.476328502415459,0.372738238841978,0.764251207729469,0.657418576598311,0.759420289855072
"278_1",0.228167281672817,0.480127186009539,0.489544895448954,0.439851616322205,0.595940959409594,0.440911499735029,0.837023370233702,0.476947535771065,0.547970479704797,0.509273979862215,0.559655596555966,0.605723370429253,0.313038130381304,0.540010598834128,0.440959409594096,0.536830948595655,0.63530135301353,0.533651298357181,0.759532595325953,0.533121356650768,0.439729397293973,0.794912559618442,0.653751537515375,0.789613142554319
"193_3",0.18778801843318,0.433392539964476,0.443548387096774,0.382770870337478,0.569124423963134,0.383658969804618,0.816820276497696,0.430728241563055,0.506912442396313,0.441385435168739,0.512672811059908,0.567495559502664,0.266129032258065,0.47335701598579,0.405529953917051,0.470692717584369,0.608294930875576,0.469804618117229,0.738479262672811,0.470692717584369,0.369815668202765,0.747779751332149,0.649769585253456,0.746891651865009
"285_1",0.221503235440518,0.471295577967417,0.458437033349925,0.461210240496509,0.586859133897461,0.463537626066718,0.819810851169736,0.471683475562451,0.522150323544052,0.517455391776571,0.525634644101543,0.658262218774244,0.297660527625684,0.519394879751746,0.426082628173221,0.529092319627618,0.613738178198108,0.529092319627618,0.739671478347437,0.520946470131885,0.419113987058238,0.800232738557021,0.623195619711299,0.798293250581846
"217_1",0.166442953020134,0.503255813953488,0.420134228187919,0.451162790697674,0.574496644295302,0.444651162790698,0.836241610738255,0.472558139534884,0.50738255033557,0.526511627906977,0.518120805369128,0.650232558139535,0.256375838926174,0.553488372093023,0.401342281879195,0.554418604651163,0.620134228187919,0.545116279069767,0.761073825503356,0.533953488372093,0.386577181208054,0.789767441860465,0.665771812080537,0.784186046511628
