"","height","width","outer_left_eyebrow_x","outer_left_eyebrow_y","inner_left_eyebrow_x","inner_left_eyebrow_y","inner_right_eyebrow_x","inner_right_eyebrow_y","outer_right_eyebrow_x","outer_right_eyebrow_y","top_nose_x","top_nose_y","nose_tip_x","nose_tip_y","outer_left_eye_corner_x","outer_left_eye_corner_y","inner_left_eye_corner_x","inner_left_eye_corner_y","inner_right_eye_corner_x","inner_right_eye_corner_y","outer_right_eye_corner_x","outer_right_eye_corner_y","left_mouth_corner_x","left_mouth_corner_y","right_mouth_corner_x","right_mouth_corner_y"
"104_4",2010,1536,335,899,695,859,935,844,1263,862,826,967,843,1267,476,989,677,998,954,988,1149,967,649,1516,1015,1505
"261_10",2595,1731,1594,405,1680,420,1711,428,1739,424,1692,443,1697,508,1613,428,1651,437,1699,445,1726,447,1618,532,1690,543
"220_4",965,840,196,402,384,390,493,387,678,410,439,468,436,619,256,467,364,479,511,483,617,474,338,747,532,751
"219_2",1277,898,159,595,411,585,490,591,738,628,450,638,439,791,241,640,362,652,533,662,653,666,311,967,559,978
"152_2",2468,1677,283,1064,773,926,945,910,1403,1047,875,1025,891,1323,458,1095,700,1090,1004,1089,1241,1099,630,1638,1095,1637
"2070",2092,1750,343,1074,796,994,1013,999,1429,1062,900,1139,914,1406,483,1165,742,1184,1052,1174,1306,1143,663,1672,1143,1659
"178_1",1103,940,210,506,444,498,548,498,761,504,498,550,503,678,288,569,412,578,573,577,690,570,374,833,625,823
"185_1",1408,1117,228,667,509,662,659,655,909,647,585,739,593,932,325,747,472,763,682,758,821,735,432,1091,719,1103
"125_3",2061,1651,334,1015,725,950,915,946,1291,984,825,1083,846,1347,459,1116,660,1124,983,1116,1178,1104,626,1656,1046,1638
"233_1",1408,1126,181,578,447,549,600,555,896,603,518,644,497,774,253,673,403,684,653,690,808,687,367,1082,681,1087
"117_1",2259,1687,349,1129,802,1103,1019,1103,1408,1114,905,1244,911,1523,481,1257,724,1280,1058,1278,1283,1249,636,1798,1153,1788
