"","height","width","top_left_jaw_x","top_left_jaw_y","top_left_jaw_2_x","top_left_jaw_2_y","mid_left_jaw_x","mid_left_jaw_y","mid_left_jaw_2_x","mid_left_jaw_2_y","mid_left_jaw_3_x","mid_left_jaw_3_y","bot_left_jaw_x","bot_left_jaw_y","top_left_chin_x","top_left_chin_y","mid_left_chin_x","mid_left_chin_y","bot_chin_x","bot_chin_y","mid_right_chin_x","mid_right_chin_y","top_right_chin_x","top_right_chin_y","bot_right_jaw_x","bot_right_jaw_y","mid_right_jaw_3_x","mid_right_jaw_3_y","mid_right_jaw_2_x","mid_right_jaw_2_y","mid_right_jaw_x","mid_right_jaw_y","top_right_jaw_2_x","top_right_jaw_2_y","top_right_jaw_x","top_right_jaw_y","outer_left_eyebrow_x","outer_left_eyebrow_y","mid_left_eyebrow_x","mid_left_eyebrow_y","mid_left_eyebrow_2_x","mid_left_eyebrow_2_y","mid_left_eyebrow_3_x","mid_left_eyebrow_3_y","inner_left_eyebrow_x","inner_left_eyebrow_y","inner_right_eyebrow_x","inner_right_eyebrow_y","mid_right_eyebrow_3_x","mid_right_eyebrow_3_y","mid_right_eyebrow_2_x","mid_right_eyebrow_2_y","mid_right_eyebrow_x","mid_right_eyebrow_y","outer_right_eyebrow_x","outer_right_eyebrow_y","top_nose_x","top_nose_y","top_nose_2_x","top_nose_2_y","mid_nose_x","mid_nose_y","nose_tip_x","nose_tip_y","bot_left_nose_x","bot_left_nose_y","bot_left_nose_2_x","bot_left_nose_2_y","bot_mid_nose_x","bot_mid_nose_y","bot_right_nose_2_x","bot_right_nose_2_y","bot_right_nose_x","bot_right_nose_y","outer_left_eye_corner_x","outer_left_eye_corner_y","top_left_eye_x","top_left_eye_y","top_left_eye_2_x","top_left_eye_2_y","inner_left_eye_corner_x","inner_left_eye_corner_y","bot_left_eye_x","bot_left_eye_y","bot_left_eye_2_x","bot_left_eye_2_y","inner_right_eye_corner_x","inner_right_eye_corner_y","top_right_eye_2_x","top_right_eye_2_y","top_right_eye_x","top_right_eye_y","outer_right_eye_corner_x","outer_right_eye_corner_y","bot_right_eye_x","bot_right_eye_y","bot_right_eye_2_x","bot_right_eye_2_y","left_mouth_corner_x","left_mouth_corner_y","top_left_lip_x","top_left_lip_y","top_left_lip_2_x","top_left_lip_2_y","top_center_lip_x","top_center_lip_y","top_right_lip_2_x","top_right_lip_2_y","top_right_lip_x","top_right_lip_y","right_mouth_corner_x","right_mouth_corner_y","bot_right_lip_x","bot_right_lip_y","bot_right_lip_2_x","bot_right_lip_2_y","bot_center_lip_x","bot_center_lip_y","bot_left_lip_2_x","bot_left_lip_2_y","bot_left_lip_x","bot_left_lip_y","mid_left_upper_lip_x","mid_left_upper_lip_y","mid_left_upper_lip_2_x","mid_left_upper_lip_2_y","mid_center_upper_lip_x","mid_center_upper_lip_y","mid_right_upper_lip_2_x","mid_right_upper_lip_2_y","mid_right_upper_lip_x","mid_right_upper_lip_y","mid_right_lower_lip_x","mid_right_lower_lip_y","mid_left_lower_lip_x","mid_left_lower_lip_y"
"179_1",1678,1254,154,916,176,1033,204,1141,234,1248,278,1351,348,1435,441,1500,541,1549,646,1561,749,1541,844,1487,931,1421,991,1332,1027,1229,1049,1123,1075,1014,1093,900,248,841,304,784,390,759,481,761,568,783,711,779,796,753,885,746,970,770,1022,830,638,887,638,947,637,1007,636,1071,557,1149,598,1156,640,1161,681,1156,721,1146,360,921,412,895,468,888,518,920,470,935,412,940,759,916,812,884,868,887,916,913,869,932,811,929,520,1319,572,1283,617,1257,646,1266,674,1258,719,1281,771,1317,721,1347,678,1360,648,1363,618,1360,573,1347,548,1314,617,1295,646,1298,674,1295,745,1314,675,1303,647,1306
"232_1",1126,871,78,569,93,657,114,742,139,826,169,907,219,976,292,1028,370,1065,452,1079,535,1063,610,1022,678,965,723,891,746,807,761,719,772,629,775,537,148,521,194,487,255,477,317,485,378,501,475,493,531,469,593,454,653,462,701,492,432,561,436,612,440,661,444,713,384,769,413,777,444,782,472,774,501,765,228,569,264,546,307,544,342,575,305,584,262,584,519,569,550,534,593,532,632,553,599,571,556,574,342,890,379,861,419,841,444,847,468,840,509,857,548,883,512,926,474,947,446,951,419,948,380,929,361,888,419,875,445,876,469,874,528,884,470,899,445,902
"105_4",1833,1450,171,933,185,1072,212,1208,236,1343,278,1471,355,1587,465,1678,593,1745,734,1768,871,1741,989,1672,1087,1580,1154,1462,1187,1331,1207,1196,1229,1061,1236,928,296,806,363,743,455,725,550,744,637,784,814,780,898,741,985,724,1070,745,1130,801,729,891,731,982,735,1071,738,1163,643,1253,689,1271,736,1284,781,1270,823,1252,402,923,461,887,534,888,597,932,533,952,458,955,848,933,913,888,983,887,1040,924,990,954,918,953,560,1455,632,1399,693,1367,736,1382,784,1368,845,1399,907,1448,845,1488,786,1506,735,1512,689,1509,630,1494,592,1449,692,1428,736,1432,785,1428,876,1445,783,1429,734,1434
"192_1_1",1511,1132,166,851,179,963,196,1071,223,1173,276,1263,355,1337,439,1399,523,1453,609,1466,688,1445,759,1385,833,1321,894,1247,933,1159,953,1067,967,975,980,881,289,847,355,816,432,809,510,821,584,843,711,852,779,836,846,824,909,830,954,866,643,910,644,963,645,1015,646,1070,557,1115,597,1122,638,1131,676,1121,711,1112,378,911,432,907,479,908,519,921,475,927,428,926,736,925,781,914,824,916,866,920,826,932,782,932,450,1219,530,1209,596,1198,636,1205,677,1196,726,1204,776,1216,725,1279,676,1306,632,1313,589,1312,524,1288,477,1226,594,1213,635,1217,676,1210,750,1223,675,1264,633,1272
"213_1",1151,906,130,626,137,707,153,788,172,864,201,937,247,1002,310,1052,380,1087,455,1098,527,1086,595,1051,656,1004,700,942,729,872,752,801,770,727,781,651,197,559,243,524,300,509,360,512,415,537,537,537,593,517,654,513,710,534,746,577,472,615,469,662,466,709,463,757,400,809,430,818,462,826,494,819,524,810,265,619,305,589,354,592,390,633,349,643,300,642,546,637,586,596,634,595,669,628,637,647,589,647,344,921,393,900,434,886,461,895,491,886,531,900,577,918,531,946,491,960,461,963,432,960,392,949,363,923,433,913,461,916,490,912,557,921,490,920,462,924
"110_1_2",1774,1293,167,939,188,1075,212,1207,241,1339,290,1459,375,1554,484,1623,599,1672,724,1684,847,1653,943,1576,1030,1483,1101,1374,1140,1252,1160,1121,1167,994,1166,861,240,861,290,781,376,740,472,738,568,756,751,747,836,716,928,706,1015,728,1075,789,671,900,679,961,687,1020,695,1084,603,1192,653,1193,703,1196,750,1184,796,1175,363,947,421,905,497,900,561,951,496,973,420,975,792,937,849,879,923,873,982,908,934,945,858,951,524,1384,595,1331,667,1297,710,1304,750,1292,818,1317,882,1364,822,1423,759,1448,716,1454,671,1453,599,1437,561,1378,669,1349,712,1352,754,1345,847,1360,753,1377,711,1386
"108_1_4",1571,1197,137,865,134,952,139,1041,148,1131,175,1220,225,1300,295,1367,371,1422,470,1445,577,1435,679,1403,780,1357,858,1293,908,1206,942,1108,966,1007,982,899,157,774,194,713,266,687,346,687,418,715,532,709,625,675,728,680,820,715,878,781,475,821,469,864,463,905,456,948,385,1036,426,1049,469,1057,518,1047,563,1034,239,842,280,800,342,800,390,850,340,859,277,859,603,845,656,791,719,794,769,837,725,853,661,854,328,1175,381,1146,438,1126,471,1137,512,1128,584,1151,649,1185,579,1239,509,1263,466,1266,425,1259,374,1233,354,1177,438,1162,471,1165,512,1164,620,1183,509,1220,467,1223
"111_2",1986,1303,128,802,130,930,131,1064,144,1199,187,1326,265,1423,374,1495,497,1546,631,1556,770,1540,888,1484,989,1407,1059,1306,1099,1178,1107,1051,1103,922,1102,800,227,688,275,603,368,573,470,583,563,621,680,626,778,595,880,588,973,621,1019,704,628,691,631,739,632,788,635,842,537,959,584,969,631,975,676,969,720,961,337,730,386,694,447,693,503,731,448,742,387,745,739,734,801,696,860,702,905,737,859,749,801,746,449,1180,524,1122,587,1096,630,1104,680,1095,738,1120,799,1167,740,1190,682,1196,630,1199,585,1199,522,1197,480,1169,587,1137,630,1137,679,1134,770,1160,679,1144,629,1147
"145_1_1",2657,2162,306,1434,327,1620,362,1808,414,1984,477,2161,596,2307,755,2411,939,2463,1146,2467,1347,2443,1510,2364,1646,2243,1741,2089,1787,1919,1825,1750,1853,1579,1867,1408,499,1219,603,1123,738,1069,891,1070,1035,1110,1233,1116,1376,1081,1524,1089,1651,1148,1732,1246,1145,1276,1148,1374,1153,1471,1158,1573,1001,1741,1071,1747,1142,1756,1210,1749,1273,1743,665,1342,750,1286,849,1280,939,1342,850,1364,749,1367,1317,1342,1409,1285,1504,1291,1584,1347,1506,1371,1408,1367,835,2006,946,1909,1056,1858,1134,1875,1210,1858,1311,1912,1409,2008,1308,2023,1212,2033,1131,2037,1049,2035,945,2027,880,1993,1056,1937,1133,1940,1212,1936,1364,1994,1208,1939,1130,1945
"214_2",1377,928,93,639,97,744,103,847,115,951,146,1054,196,1148,266,1226,352,1285,453,1302,556,1291,648,1238,723,1163,779,1072,813,970,826,865,833,758,838,651,168,583,205,530,272,511,344,516,412,534,511,532,582,515,654,511,723,532,762,585,459,617,457,679,455,739,451,805,389,880,422,887,456,891,491,889,525,884,242,630,281,598,333,598,379,639,333,653,279,655,548,640,591,599,643,599,683,631,647,656,593,654,334,1042,381,1013,425,994,458,1006,491,996,537,1014,586,1042,535,1065,491,1074,456,1077,421,1074,380,1065,359,1038,424,1028,457,1034,492,1030,561,1039,491,1026,456,1031
